,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,149.63,2001-02-04,Arsène_Lupin,48.32,2001-02-04
,Sayenjin,125.04,2002-06-03,Sayenjin,41.00,2002-06-03
,Arsène_Lupin,123.54,2002-10-18,Kang,40.92,2002-09-21
,Sayenjin,122.28,2002-11-15,Arsène_Lupin,40.52,2002-10-02
,Kang,121.81,2003-02-22,Kang,40.36,2002-10-24
,Kang,121.02,2003-06-14,Sayenjin,40.08,2002-10-27
,Arsène_Lupin,119.84,2003-08-09,Arsène_Lupin,39.70,2002-11-08
,stelzig,119.02,2005-06-10,Kang,39.53,2003-01-21
,Arsène_Lupin,118.31,2005-06-27,Arsène_Lupin,39.38,2003-06-06
,pardiez,118.22,2007-11-12,Kang,39.38,2003-06-14
,David,118.18,2008-11-23,Kang,39.02,2003-07-14
,BlackTeamFreezing,117.76,2008-12-06,Arsène_Lupin,38.92,2003-08-09
,crash68,117.30,2009-03-17,Arsène_Lupin,38.71,2003-09-06
,crash68,117.08,2010-07-15,Arsène_Lupin,38.44,2005-06-27
,crash68,116.70,2010-07-19,crash68,38.30,2008-01-28
,sambennettctr,116.70,2011-07-13,luca103,37.55,2008-12-05
,Justin Zimmermann,116.64,2011-09-18,BlackTeamFreezing,37.47,2008-12-27
,crash68,116.22,2011-12-15,crash68,37.46,2011-05-06
,crash68,116.06,2011-12-16,Justin Zimmermann,37.30,2011-10-08
,crash68,115.79,2011-12-16,crash68,37.11,2012-01-02
,v4eCTR,115.64,2013-04-15,Justin Zimmermann,37.00,2013-08-26
,v4eCTR,115.56,2013-06-02,luca103,36.81,2013-09-11
,luca103,115.08,2013-09-10,Justin Zimmermann,36.80,2018-07-30
,Justin Zimmermann,114.66,2018-08-29,,,